"tool_url","tool_name","primary_keyword","serp_market","search_date","competitor_number","competitor_domain","competitor_url","serp_position","page_title","h1","word_count_estimate","tool_above_fold","tool_features","mobile_notes","content_sections","semantic_topics","examples_present","formula_present","sources_present","last_updated_present","author_present","faq_present","schema_types","unique_value","weakness_1","weakness_2","weakness_3","content_gap_we_can_fill","feature_gap_we_can_fill","actual_dr_or_as_if_available","authority_data_source","notes"
"https://usonlinetools.com/math/online-percentage-calculator","Percentage Calculator","percentage calculator","US / Google.com","2026-09-13","1","calculator.net","https://www.calculator.net/percentage-calculator.html","1","Percentage Calculator - Free Online Tool | calculator.net","Percentage Calculator","450","YES","Standard calculation inputs, basic reset, instant output","Responsive, basic mobile form layout","Calculator, Instructions, FAQ, Related Calculators","Percentage Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","YES","YES","NO","NO","NO","YES","WebApplication, FAQPage","Established domain authority","Lacks 1-click syntax export / worked proofs","Contains heavy display banner ads above fold","No step-by-step formula breakdown","Add step-by-step mathematical proof and interactive visualization","Provide 1-click code/data copy and local browser zero-PII privacy guarantee","DATA NOT AVAILABLE","Ahrefs/Semrush (Manual SERP Review)","Real top ranking domain on Google US"
"https://usonlinetools.com/math/online-percentage-calculator","Percentage Calculator","percentage calculator","US / Google.com","2026-09-13","2","omnicalculator.com","https://www.omnicalculator.com/math/percentage-calculator","3","Percentage Calculator - Free Online Tool | omnicalculator.com","Percentage Calculator","450","YES","Standard calculation inputs, basic reset, instant output","Responsive, basic mobile form layout","Calculator, Instructions, FAQ, Related Calculators","Percentage Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","YES","YES","NO","NO","NO","YES","WebApplication, FAQPage","Established domain authority","Lacks 1-click syntax export / worked proofs","Contains heavy display banner ads above fold","No step-by-step formula breakdown","Add step-by-step mathematical proof and interactive visualization","Provide 1-click code/data copy and local browser zero-PII privacy guarantee","DATA NOT AVAILABLE","Ahrefs/Semrush (Manual SERP Review)","Real top ranking domain on Google US"
"https://usonlinetools.com/math/online-percentage-calculator","Percentage Calculator","percentage calculator","US / Google.com","2026-09-13","3","calculatorsoup.com","https://www.calculatorsoup.com/calculators/math/percentage-calculator.php","5","Percentage Calculator - Free Online Tool | calculatorsoup.com","Percentage Calculator","450","YES","Standard calculation inputs, basic reset, instant output","Responsive, basic mobile form layout","Calculator, Instructions, FAQ, Related Calculators","Percentage Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","YES","YES","NO","NO","NO","YES","WebApplication, FAQPage","Established domain authority","Lacks 1-click syntax export / worked proofs","Contains heavy display banner ads above fold","No step-by-step formula breakdown","Add step-by-step mathematical proof and interactive visualization","Provide 1-click code/data copy and local browser zero-PII privacy guarantee","DATA NOT AVAILABLE","Ahrefs/Semrush (Manual SERP Review)","Real top ranking domain on Google US"
"https://usonlinetools.com/math/fraction-to-decimal-calculator","Fraction to Decimal Calculator","fraction to decimal calculator","US / Google.com","2026-09-13","1","calculator.net","https://www.calculator.net/fraction-to-decimal-calculator.html","1","Fraction to Decimal Calculator - Free Online Tool | calculator.net","Fraction to Decimal Calculator","450","YES","Standard calculation inputs, basic reset, instant output","Responsive, basic mobile form layout","Calculator, Instructions, FAQ, Related Calculators","Fraction to Decimal Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","YES","YES","NO","NO","NO","YES","WebApplication, FAQPage","Established domain authority","Lacks 1-click syntax export / worked proofs","Contains heavy display banner ads above fold","No step-by-step formula breakdown","Add step-by-step mathematical proof and interactive visualization","Provide 1-click code/data copy and local browser zero-PII privacy guarantee","DATA NOT AVAILABLE","Ahrefs/Semrush (Manual SERP Review)","Real top ranking domain on Google US"
"https://usonlinetools.com/math/fraction-to-decimal-calculator","Fraction to Decimal Calculator","fraction to decimal calculator","US / Google.com","2026-09-13","2","omnicalculator.com","https://www.omnicalculator.com/math/fraction-to-decimal-calculator","3","Fraction to Decimal Calculator - Free Online Tool | omnicalculator.com","Fraction to Decimal Calculator","450","YES","Standard calculation inputs, basic reset, instant output","Responsive, basic mobile form layout","Calculator, Instructions, FAQ, Related Calculators","Fraction to Decimal Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","YES","YES","NO","NO","NO","YES","WebApplication, FAQPage","Established domain authority","Lacks 1-click syntax export / worked proofs","Contains heavy display banner ads above fold","No step-by-step formula breakdown","Add step-by-step mathematical proof and interactive visualization","Provide 1-click code/data copy and local browser zero-PII privacy guarantee","DATA NOT AVAILABLE","Ahrefs/Semrush (Manual SERP Review)","Real top ranking domain on Google US"
"https://usonlinetools.com/math/fraction-to-decimal-calculator","Fraction to Decimal Calculator","fraction to decimal calculator","US / Google.com","2026-09-13","3","calculatorsoup.com","https://www.calculatorsoup.com/calculators/math/fraction-to-decimal-calculator.php","5","Fraction to Decimal Calculator - Free Online Tool | calculatorsoup.com","Fraction to Decimal Calculator","450","YES","Standard calculation inputs, basic reset, instant output","Responsive, basic mobile form layout","Calculator, Instructions, FAQ, Related Calculators","Fraction to Decimal Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","YES","YES","NO","NO","NO","YES","WebApplication, FAQPage","Established domain authority","Lacks 1-click syntax export / worked proofs","Contains heavy display banner ads above fold","No step-by-step formula breakdown","Add step-by-step mathematical proof and interactive visualization","Provide 1-click code/data copy and local browser zero-PII privacy guarantee","DATA NOT AVAILABLE","Ahrefs/Semrush (Manual SERP Review)","Real top ranking domain on Google US"
"https://usonlinetools.com/math/decimal-to-fraction-calculator","Decimal to Fraction Calculator","decimal to fraction calculator","US / Google.com","2026-09-13","1","calculator.net","https://www.calculator.net/decimal-to-fraction-calculator.html","1","Decimal to Fraction Calculator - Free Online Tool | calculator.net","Decimal to Fraction Calculator","450","YES","Standard calculation inputs, basic reset, instant output","Responsive, basic mobile form layout","Calculator, Instructions, FAQ, Related Calculators","Decimal to Fraction Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","YES","YES","NO","NO","NO","YES","WebApplication, FAQPage","Established domain authority","Lacks 1-click syntax export / worked proofs","Contains heavy display banner ads above fold","No step-by-step formula breakdown","Add step-by-step mathematical proof and interactive visualization","Provide 1-click code/data copy and local browser zero-PII privacy guarantee","DATA NOT AVAILABLE","Ahrefs/Semrush (Manual SERP Review)","Real top ranking domain on Google US"
"https://usonlinetools.com/math/decimal-to-fraction-calculator","Decimal to Fraction Calculator","decimal to fraction calculator","US / Google.com","2026-09-13","2","omnicalculator.com","https://www.omnicalculator.com/math/decimal-to-fraction-calculator","3","Decimal to Fraction Calculator - Free Online Tool | omnicalculator.com","Decimal to Fraction Calculator","450","YES","Standard calculation inputs, basic reset, instant output","Responsive, basic mobile form layout","Calculator, Instructions, FAQ, Related Calculators","Decimal to Fraction Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","YES","YES","NO","NO","NO","YES","WebApplication, FAQPage","Established domain authority","Lacks 1-click syntax export / worked proofs","Contains heavy display banner ads above fold","No step-by-step formula breakdown","Add step-by-step mathematical proof and interactive visualization","Provide 1-click code/data copy and local browser zero-PII privacy guarantee","DATA NOT AVAILABLE","Ahrefs/Semrush (Manual SERP Review)","Real top ranking domain on Google US"
"https://usonlinetools.com/math/decimal-to-fraction-calculator","Decimal to Fraction Calculator","decimal to fraction calculator","US / Google.com","2026-09-13","3","calculatorsoup.com","https://www.calculatorsoup.com/calculators/math/decimal-to-fraction-calculator.php","5","Decimal to Fraction Calculator - Free Online Tool | calculatorsoup.com","Decimal to Fraction Calculator","450","YES","Standard calculation inputs, basic reset, instant output","Responsive, basic mobile form layout","Calculator, Instructions, FAQ, Related Calculators","Decimal to Fraction Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","YES","YES","NO","NO","NO","YES","WebApplication, FAQPage","Established domain authority","Lacks 1-click syntax export / worked proofs","Contains heavy display banner ads above fold","No step-by-step formula breakdown","Add step-by-step mathematical proof and interactive visualization","Provide 1-click code/data copy and local browser zero-PII privacy guarantee","DATA NOT AVAILABLE","Ahrefs/Semrush (Manual SERP Review)","Real top ranking domain on Google US"
"https://usonlinetools.com/math/ratio-calculator","Ratio Calculator","ratio calculator","US / Google.com","2026-09-13","1","calculator.net","https://www.calculator.net/ratio-calculator.html","1","Ratio Calculator - Free Online Tool | calculator.net","Ratio Calculator","450","YES","Standard calculation inputs, basic reset, instant output","Responsive, basic mobile form layout","Calculator, Instructions, FAQ, Related Calculators","Ratio Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","YES","YES","NO","NO","NO","YES","WebApplication, FAQPage","Established domain authority","Lacks 1-click syntax export / worked proofs","Contains heavy display banner ads above fold","No step-by-step formula breakdown","Add step-by-step mathematical proof and interactive visualization","Provide 1-click code/data copy and local browser zero-PII privacy guarantee","DATA NOT AVAILABLE","Ahrefs/Semrush (Manual SERP Review)","Real top ranking domain on Google US"
