"canonical_url","tool_name","category","category_id","language","country_target","current_title","current_meta_description","current_h1","word_count","has_formula","has_examples","has_faq","has_schema","gsc_impressions_baseline","gsc_clicks_baseline","gsc_avg_position_baseline","http_status","mobile_friendly","execution_speed"
"https://usonlinetools.com/math/percentage-calculator","Percentage Calculator","Math & Calculators","math","en","US","Percentage Calculator - US Online Tools","Use this free percentage calculator to calculate percent of a number, percentage increase, percentage decrease, and percent difference.","Percentage Calculator","250","Yes","Yes","Yes","Yes","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","200 OK","Yes","< 50ms (Pure Client JS)"
"https://usonlinetools.com/math/fraction-to-decimal-calculator","Fraction to Decimal Calculator","Math & Calculators","math","en","US","Online Fraction to Decimal Calculator | US Online Tools","Convert fractions to decimals easily. Free fraction to decimal converter online.","Online Fraction to Decimal Calculator","330","No","No","Yes","Yes","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","200 OK","Yes","< 50ms (Pure Client JS)"
"https://usonlinetools.com/math/decimal-to-fraction-calculator","Decimal to Fraction Calculator","Math & Calculators","math","en","US","Online Decimal to Fraction Calculator | US Online Tools","Convert decimal numbers to fractions. Free online decimal to fraction calculator.","Online Decimal to Fraction Calculator","330","No","No","Yes","Yes","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","200 OK","Yes","< 50ms (Pure Client JS)"
"https://usonlinetools.com/math/ratio-calculator","Ratio Calculator","Math & Calculators","math","en","US","Online Ratio Calculator | US Online Tools","Calculate, simplify, and solve ratios with this free online ratio calculator.","Online Ratio Calculator","314","No","No","Yes","Yes","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","200 OK","Yes","< 50ms (Pure Client JS)"
"https://usonlinetools.com/math/average-calculator","Average Calculator","Math & Calculators","math","en","US","Online Average Calculator | US Online Tools","Calculate the average (mean) of any set of numbers. Free online average calculator.","Online Average Calculator","326","No","No","Yes","Yes","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","200 OK","Yes","< 50ms (Pure Client JS)"
"https://usonlinetools.com/math/online-scientific-calculator","Scientific Calculator","Math & Calculators","math","en","US","Online Scientific Calculator | US Online Tools","Free online scientific calculator with advanced math functions, trig, logs, and more.","Online Scientific Calculator","316","No","No","Yes","Yes","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","200 OK","Yes","< 50ms (Pure Client JS)"
"https://usonlinetools.com/math/online-standard-deviation-calculator","Standard Deviation Calculator","Math & Calculators","math","en","US","Online Standard Deviation Calculator | US Online Tools","Calculate standard deviation, variance, and mean for any dataset online.","Online Standard Deviation Calculator","319","No","No","Yes","Yes","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","200 OK","Yes","< 50ms (Pure Client JS)"
"https://usonlinetools.com/math/square-root-calculator","Square Root Calculator","Math & Calculators","math","en","US","Online Square Root Calculator | US Online Tools","Calculate square roots of any number. Free online square root calculator.","Online Square Root Calculator","323","No","No","Yes","Yes","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","200 OK","Yes","< 50ms (Pure Client JS)"
"https://usonlinetools.com/math/cube-root-calculator","Cube Root Calculator","Math & Calculators","math","en","US","Online Cube Root Calculator | US Online Tools","Find the cube root of any number with this free online calculator.","Online Cube Root Calculator","329","No","No","Yes","Yes","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","200 OK","Yes","< 50ms (Pure Client JS)"
"https://usonlinetools.com/math/power-calculator","Power Calculator","Math & Calculators","math","en","US","Online Power Calculator | US Online Tools","Calculate powers and exponents. Raise any number to any power online.","Online Power Calculator","315","No","No","Yes","Yes","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","200 OK","Yes","< 50ms (Pure Client JS)"
"https://usonlinetools.com/math/logarithm-calculator","Logarithm Calculator","Math & Calculators","math","en","US","Online Logarithm Calculator | US Online Tools","Calculate logarithms (log10, natural log, custom base) with this free online tool.","Online Logarithm Calculator","321","No","No","Yes","Yes","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","200 OK","Yes","< 50ms (Pure Client JS)"
