"url","tool_name","word_count","tool_functionality_score","unique_content_score","formula_or_method","worked_example","specific_use_cases","limitations","source_quality","semantic_coverage_score","template_similarity_score","thin_content_risk","action","notes"
"https://usonlinetools.com/math/online-percentage-calculator","Percentage Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/fraction-to-decimal-calculator","Fraction to Decimal Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/decimal-to-fraction-calculator","Decimal to Fraction Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/ratio-calculator","Ratio Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/average-calculator","Average Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/online-scientific-calculator","Scientific Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/online-standard-deviation-calculator","Standard Deviation Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/square-root-calculator","Square Root Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/cube-root-calculator","Cube Root Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/power-calculator","Power Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/logarithm-calculator","Logarithm Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/factorial-calculator","Factorial Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/prime-number-checker","Prime Number Checker","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/online-lcm-calculator","LCM Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/online-gcd-calculator","GCD Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/random-number-generator","Random Number Generator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/mean-median-mode-calculator","Mean Median Mode Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/rounding-numbers-calculator","Rounding Numbers Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/exponents-calculator","Exponents Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/variance-calculator","Variance Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/number-sequence-generator","Number Sequence Generator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/divisibility-checker","Divisibility Checker","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/online-matrix-calculator","Matrix Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/online-quadratic-equation-solver","Quadratic Equation Solver","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/permutation-calculator","Permutation Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/combination-calculator","Combination Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/modulo-calculator","Modulo Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/proportion-calculator","Proportion Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/percentage-error-calculator","Percentage Error Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/math/fraction-calculator","Fraction Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/finance/online-simple-interest-calculator","Simple Interest Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/finance/online-compound-interest-calculator","Compound Interest Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/finance/online-loan-emi-calculator","Loan EMI Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/finance/discount-calculator","Discount Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/finance/profit-margin-calculator","Profit Margin Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/finance/markup-calculator","Markup Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/finance/break-even-calculator","Break Even Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/finance/online-roi-calculator","ROI Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/finance/savings-calculator","Savings Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
"https://usonlinetools.com/finance/online-cagr-calculator","CAGR Calculator","520","9/10","8/10","YES","YES","YES","YES","High (RFC/NIST Standard)","8/10","Low","LOW","MAINTAIN_AND_ENRICH","Complete client-side calculator with verified prerendered HTML"
