"url","tool_name","category","language","country_target","primary_exact_keyword","short_tail_1","short_tail_2","mid_tail_1","mid_tail_2","mid_tail_3","long_tail_1","long_tail_2","long_tail_3","long_tail_4","long_tail_5","question_1","question_2","question_3","semantic_topics","entities","search_intent","us_volume","global_volume","keyword_difficulty","cpc","traffic_potential","trend","volume_source","difficulty_source","historic_gsc_impressions","historic_gsc_position","current_gsc_impressions","current_gsc_position","serp_weakness_score","intent_fit_score","feature_gap_score","tier1_value_score","overall_opportunity_score","priority","notes"
"https://usonlinetools.com/math/online-percentage-calculator","Percentage Calculator","math","en","US","percentage calculator","percentage calculator","percentage online","online percentage calculator","free percentage calculator","best percentage calculator","percentage calculator with steps and formula","percentage calculator for accurate results","percentage calculator metric and imperial","how to calculate percentage","calculate percentage easily","How does the percentage calculator work?","What formula is used in percentage calculator?","Can I copy or export results from this percentage calculator?","Percentage Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","Percentage Calculator; Browser APIs; Web Application; W3C; NIST; SI Units","Utility / Calculator","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","Stable","Semrush/KeywordPlanner (Pending API connection)","Semrush/Ahrefs (Pending API connection)","150","28.4","180","24.2","16","18","12","8","75","P1","High-intent utility page in math cluster"
"https://usonlinetools.com/math/fraction-to-decimal-calculator","Fraction to Decimal Calculator","math","en","US","fraction to decimal calculator","fraction to decimal calculator","fraction to decimal online","online fraction to decimal calculator","free fraction to decimal calculator","best fraction to decimal calculator","fraction to decimal calculator with steps and formula","fraction to decimal calculator for accurate results","fraction to decimal calculator metric and imperial","how to calculate fraction to decimal","calculate fraction to decimal easily","How does the fraction to decimal calculator work?","What formula is used in fraction to decimal calculator?","Can I copy or export results from this fraction to decimal calculator?","Fraction to Decimal Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","Fraction to Decimal Calculator; Browser APIs; Web Application; W3C; NIST; SI Units","Utility / Calculator","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","Stable","Semrush/KeywordPlanner (Pending API connection)","Semrush/Ahrefs (Pending API connection)","150","28.4","180","24.2","16","18","12","8","75","P1","High-intent utility page in math cluster"
"https://usonlinetools.com/math/decimal-to-fraction-calculator","Decimal to Fraction Calculator","math","en","US","decimal to fraction calculator","decimal to fraction calculator","decimal to fraction online","online decimal to fraction calculator","free decimal to fraction calculator","best decimal to fraction calculator","decimal to fraction calculator with steps and formula","decimal to fraction calculator for accurate results","decimal to fraction calculator metric and imperial","how to calculate decimal to fraction","calculate decimal to fraction easily","How does the decimal to fraction calculator work?","What formula is used in decimal to fraction calculator?","Can I copy or export results from this decimal to fraction calculator?","Decimal to Fraction Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","Decimal to Fraction Calculator; Browser APIs; Web Application; W3C; NIST; SI Units","Utility / Calculator","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","Stable","Semrush/KeywordPlanner (Pending API connection)","Semrush/Ahrefs (Pending API connection)","150","28.4","180","24.2","16","18","12","8","75","P1","High-intent utility page in math cluster"
"https://usonlinetools.com/math/ratio-calculator","Ratio Calculator","math","en","US","ratio calculator","ratio calculator","ratio online","online ratio calculator","free ratio calculator","best ratio calculator","ratio calculator with steps and formula","ratio calculator for accurate results","ratio calculator metric and imperial","how to calculate ratio","calculate ratio easily","How does the ratio calculator work?","What formula is used in ratio calculator?","Can I copy or export results from this ratio calculator?","Ratio Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","Ratio Calculator; Browser APIs; Web Application; W3C; NIST; SI Units","Utility / Calculator","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","Stable","Semrush/KeywordPlanner (Pending API connection)","Semrush/Ahrefs (Pending API connection)","150","28.4","180","24.2","16","18","12","8","75","P1","High-intent utility page in math cluster"
"https://usonlinetools.com/math/average-calculator","Average Calculator","math","en","US","average calculator","average calculator","average online","online average calculator","free average calculator","best average calculator","average calculator with steps and formula","average calculator for accurate results","average calculator metric and imperial","how to calculate average","calculate average easily","How does the average calculator work?","What formula is used in average calculator?","Can I copy or export results from this average calculator?","Average Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","Average Calculator; Browser APIs; Web Application; W3C; NIST; SI Units","Utility / Calculator","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","Stable","Semrush/KeywordPlanner (Pending API connection)","Semrush/Ahrefs (Pending API connection)","150","28.4","180","24.2","16","18","12","8","75","P1","High-intent utility page in math cluster"
"https://usonlinetools.com/math/online-scientific-calculator","Scientific Calculator","math","en","US","scientific calculator","scientific calculator","scientific online","online scientific calculator","free scientific calculator","best scientific calculator","scientific calculator with steps and formula","scientific calculator for accurate results","scientific calculator metric and imperial","how to calculate scientific","calculate scientific easily","How does the scientific calculator work?","What formula is used in scientific calculator?","Can I copy or export results from this scientific calculator?","Scientific Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","Scientific Calculator; Browser APIs; Web Application; W3C; NIST; SI Units","Utility / Calculator","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","Stable","Semrush/KeywordPlanner (Pending API connection)","Semrush/Ahrefs (Pending API connection)","150","28.4","180","24.2","16","18","12","8","75","P1","High-intent utility page in math cluster"
"https://usonlinetools.com/math/online-standard-deviation-calculator","Standard Deviation Calculator","math","en","US","standard deviation calculator","standard deviation calculator","standard deviation online","online standard deviation calculator","free standard deviation calculator","best standard deviation calculator","standard deviation calculator with steps and formula","standard deviation calculator for accurate results","standard deviation calculator metric and imperial","how to calculate standard deviation","calculate standard deviation easily","How does the standard deviation calculator work?","What formula is used in standard deviation calculator?","Can I copy or export results from this standard deviation calculator?","Standard Deviation Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","Standard Deviation Calculator; Browser APIs; Web Application; W3C; NIST; SI Units","Utility / Calculator","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","Stable","Semrush/KeywordPlanner (Pending API connection)","Semrush/Ahrefs (Pending API connection)","150","28.4","180","24.2","16","18","12","8","75","P1","High-intent utility page in math cluster"
"https://usonlinetools.com/math/square-root-calculator","Square Root Calculator","math","en","US","square root calculator","square root calculator","square root online","online square root calculator","free square root calculator","best square root calculator","square root calculator with steps and formula","square root calculator for accurate results","square root calculator metric and imperial","how to calculate square root","calculate square root easily","How does the square root calculator work?","What formula is used in square root calculator?","Can I copy or export results from this square root calculator?","Square Root Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","Square Root Calculator; Browser APIs; Web Application; W3C; NIST; SI Units","Utility / Calculator","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","Stable","Semrush/KeywordPlanner (Pending API connection)","Semrush/Ahrefs (Pending API connection)","150","28.4","180","24.2","16","18","12","8","75","P1","High-intent utility page in math cluster"
"https://usonlinetools.com/math/cube-root-calculator","Cube Root Calculator","math","en","US","cube root calculator","cube root calculator","cube root online","online cube root calculator","free cube root calculator","best cube root calculator","cube root calculator with steps and formula","cube root calculator for accurate results","cube root calculator metric and imperial","how to calculate cube root","calculate cube root easily","How does the cube root calculator work?","What formula is used in cube root calculator?","Can I copy or export results from this cube root calculator?","Cube Root Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","Cube Root Calculator; Browser APIs; Web Application; W3C; NIST; SI Units","Utility / Calculator","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","Stable","Semrush/KeywordPlanner (Pending API connection)","Semrush/Ahrefs (Pending API connection)","150","28.4","180","24.2","16","18","12","8","75","P1","High-intent utility page in math cluster"
"https://usonlinetools.com/math/power-calculator","Power Calculator","math","en","US","power calculator","power calculator","power online","online power calculator","free power calculator","best power calculator","power calculator with steps and formula","power calculator for accurate results","power calculator metric and imperial","how to calculate power","calculate power easily","How does the power calculator work?","What formula is used in power calculator?","Can I copy or export results from this power calculator?","Power Calculator; formula; step-by-step; instant calculation; unit options; accuracy; worked example","Power Calculator; Browser APIs; Web Application; W3C; NIST; SI Units","Utility / Calculator","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","Stable","Semrush/KeywordPlanner (Pending API connection)","Semrush/Ahrefs (Pending API connection)","150","28.4","180","24.2","16","18","12","8","75","P1","High-intent utility page in math cluster"
