"url","primary_intent","primary_keyword","secondary_queries","country","language","intent","priority","notes"
"/math/online-percentage-calculator","tool use","Percentage Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/fraction-to-decimal-calculator","tool use","Fraction to Decimal Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/decimal-to-fraction-calculator","tool use","Decimal to Fraction Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/ratio-calculator","tool use","Ratio Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/average-calculator","tool use","Average Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/online-scientific-calculator","tool use","Scientific Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/online-standard-deviation-calculator","tool use","Standard Deviation Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/square-root-calculator","tool use","Square Root Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/cube-root-calculator","tool use","Cube Root Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/power-calculator","tool use","Power Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/logarithm-calculator","tool use","Logarithm Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/factorial-calculator","tool use","Factorial Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/prime-number-checker","tool use","Prime Number Checker","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/online-lcm-calculator","tool use","LCM Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/online-gcd-calculator","tool use","GCD Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/random-number-generator","tool use","Random Number Generator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/mean-median-mode-calculator","tool use","Mean Median Mode Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/rounding-numbers-calculator","tool use","Rounding Numbers Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/exponents-calculator","tool use","Exponents Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/variance-calculator","tool use","Variance Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/number-sequence-generator","tool use","Number Sequence Generator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/divisibility-checker","tool use","Divisibility Checker","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/online-matrix-calculator","tool use","Matrix Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/online-quadratic-equation-solver","tool use","Quadratic Equation Solver","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/permutation-calculator","tool use","Permutation Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/combination-calculator","tool use","Combination Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/modulo-calculator","tool use","Modulo Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/proportion-calculator","tool use","Proportion Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/percentage-error-calculator","tool use","Percentage Error Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/math/fraction-calculator","tool use","Fraction Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-simple-interest-calculator","tool use","Simple Interest Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-compound-interest-calculator","tool use","Compound Interest Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-loan-emi-calculator","tool use","Loan EMI Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/discount-calculator","tool use","Discount Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/profit-margin-calculator","tool use","Profit Margin Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/markup-calculator","tool use","Markup Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/break-even-calculator","tool use","Break Even Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-roi-calculator","tool use","ROI Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/savings-calculator","tool use","Savings Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-cagr-calculator","tool use","CAGR Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-debt-to-income-calculator","tool use","Debt-to-Income Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-loan-to-value-calculator","tool use","Loan-to-Value Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/tip-calculator","tool use","Tip Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-salary-calculator","tool use","Salary Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-tax-calculator","tool use","Tax Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-mortgage-payment-calculator","tool use","Mortgage Payment Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-gst-calculator","tool use","GST Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-inflation-calculator","tool use","Inflation Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/commission-calculator","tool use","Commission Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-investment-growth-calculator","tool use","Investment Growth Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-budget-calculator","tool use","Budget Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/expense-calculator","tool use","Expense Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/cost-per-unit-calculator","tool use","Cost Per Unit Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/price-per-unit-calculator","tool use","Price Per Unit Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/payback-period-calculator","tool use","Payback Period Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/loan-interest-calculator","tool use","Loan Interest Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/savings-goal-calculator","tool use","Savings Goal Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/revenue-calculator","tool use","Revenue Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/cost-split-calculator","tool use","Cost Split Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/depreciation-calculator","tool use","Depreciation Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/net-worth-calculator","tool use","Net Worth Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-retirement-calculator","tool use","Retirement Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-car-loan-calculator","tool use","Car Loan Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/credit-card-payoff-calculator","tool use","Credit Card Payoff Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/down-payment-calculator","tool use","Down Payment Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/online-amortization-calculator","tool use","Amortization Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/stock-profit-calculator","tool use","Stock Profit Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
"/finance/dividend-calculator","tool use","Dividend Calculator","","US","en","informational/tool","REVIEW","Keyword demand and competition not available in current environment"
