"url","tool","category","indexed","clicks_28d","impressions_28d","clicks_90d","impressions_90d","clicks_6m","impressions_6m","avg_position","ctr","tier1_relevance","tool_usage","internal_links","duplicate_risk","competition","unique_value","accuracy_risk","decision","priority"
"/math/online-percentage-calculator","Percentage Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/fraction-to-decimal-calculator","Fraction to Decimal Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/decimal-to-fraction-calculator","Decimal to Fraction Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/ratio-calculator","Ratio Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/average-calculator","Average Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/online-scientific-calculator","Scientific Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/online-standard-deviation-calculator","Standard Deviation Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/square-root-calculator","Square Root Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/cube-root-calculator","Cube Root Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/power-calculator","Power Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/logarithm-calculator","Logarithm Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
"/math/factorial-calculator","Factorial Calculator","Math & Calculators","UNKNOWN","","","","","","","","","REVIEW","UNKNOWN","UNKNOWN","REVIEW","UNKNOWN","REVIEW","REVIEW","MAINTAIN","REVIEW"
